,id,description,ingredients,categories,url
Heider Krabbenfrikadellen,31,"Das Rezept der Heider Krabbenfrikadellen stammt von der Patentante des Verfassers.
","{'Zitrone', 'Zwiebel', 'Toastbrot', 'Nordseekrabbe', 'Weizenmehl', 'Ei', 'Pfeffer', 'Milch', 'Butterschmalz', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Schleswig-Holsteinische Küche', 'Hauptspeisen', 'Nordseekrabbe']",https://www.kochwiki.org/wiki/Heider_Krabbenfrikadellen
Hoppelpoppel,32,"Hoppelpoppel ist ein einfaches Berliner Gericht aus Kartoffeln, Bratenresten, Eiern und Sahne. Der Name soll eine Zusammenziehung aus hops und popelig sein, in etwa dem Sinn, dass popelige (kümmerliche) Reste, bevor sie hopsgehen (verderben), verarbeitet werden.
","{'Zwiebel', 'Gewürzgurke', 'Fleisch', 'Kümmel', 'Ei', 'Butter', 'Pfeffer', 'Petersilie', 'Salz', 'Sahne'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Berliner Küche', 'Resteküche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Hoppelpoppel
Huhn mit Cashewnüssen,33,"Beim Huhn mit Cashewnüssen (ndl. kip met cashewnoten) trifft ostasiatische Küche auf surinamische Schärfe.
","{'Ingwer', 'Huhn', 'Zwiebel', 'Cashewkern', 'Chili', 'Sojasprosse', 'Laos', 'Paprika', 'Pfeffer', 'Brühwürfel', 'Knoblauch', 'Glutamat', 'Salz', 'Stärkemehl'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Surinamische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Huhn_mit_Cashewn%C3%BCssen
Hühnchen Chow Mein,34,"Hühnchen Chow-Mein ist eine milde chinesische Hauptspeise mit Eiernudeln. 
","{'Shiitake', 'Sojasprosse', 'Paprika', 'Sesamöl', 'Nudel', 'Lauchzwiebel', 'Hühnerbrust', 'Knoblauch', 'Sonnenblumenöl', 'Sojasauce'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/H%C3%BChnchen_Chow_Mein
Ingwerhuhn,35,"Ingwerhuhn ist ein chinesisches Hauptgericht, das kalorienarm und dazu noch sehr gesund ist.
","{'Ingwer', 'Zucker', 'Zwiebel', 'Stärkemehl', 'Hühnerbrust', 'Knoblauch', 'Orange', 'Karotte', 'Sonnenblumenöl', 'Tomatenmark', 'Schnittlauch', 'Orangensaft'}","['Schwierigkeit mittel', 'Rezepte mit Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Ingwerhuhn
Jambalaya,36,"Die Jambalaya ist ein typisches und sehr würziges Reisgericht aus der Cajun-Küche im US-Bundesstaat Louisiana, die von den frankophonen, Cajuns genannten, Einwanderern stammt. Dieses Reisgericht ähnelt im weitesten Sinne einer mediterranen Paella – doch von der Jambalaya existieren so viele Variationen, wie es Köche gibt, die es zubereiten. Jambalaya, we'll have big fun on the Bayou…
","{'Rundkornreis', 'Tomate', 'Paprika', 'Pfeffer', 'Knoblauch', 'Okra', 'Gewürzthymian', 'Scampi', 'Chorizo', 'Chili', 'Petersilie', 'Hühnerbrust', 'Sellerie', 'Koriander', 'Zwiebel', 'Tabasco', 'Lorbeer', 'Salz', 'Erdnussöl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Cajun-Küche', 'Hauptspeisen', 'Reis']",https://www.kochwiki.org/wiki/Jambalaya
Janssons Versuchung,37,"Janssons Versuchung (schwed. Janssons Frestelse) ist ein echter schwedischer Klassiker. Es ist ein Hauptgericht mit Anchovis, wie sie in Schweden aus Skarpsill (dt. Europäische Sprotte, Sprott, Brisling oder Breitling, lt. sprattus sprattus) hergestellt werden. Außerdem besteht es aus Kartoffelstäbchen, Sahne, gelben Zwiebeln, dem Sud der Anchovis, Butter und Semmelmehl.
","{'Zwiebel', 'Butter', 'Sprotte', 'Kartoffel', 'Sahne'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Schwedische Küche', 'Anchovis', 'Kartoffelauflauf']",https://www.kochwiki.org/wiki/Janssons_Versuchung
Kartoffel-Chili-Quesadilla,38,"Dem ein oder anderen ist Quesadilla vielleicht aus dem Mexiko-Urlaub ein Begriff. Hauptsächlich handelt es sich dabei um Tortillas, die mit Käse gefüllt werden. Es gibt aber zahlreiche Varianten, bei denen auch noch andere Zutaten in die dünnen Weizenfladen gepackt werden. So wie bei dieser sättigenden Kartoffel-Chili-Quesadilla, die dank reichlich Chili den Gaumen rauchen lässt.
","{'Koriander', 'Zwiebel', 'Chili', 'Limette', 'Pfeffer', 'Lime Juice', 'Olivenöl', 'Knoblauch', 'Sonnenblumenöl', 'Salz', 'Kartoffel', 'Vorarlberger Bergkäse'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Mexikanische Küche', 'Vorspeisen', 'Hauptspeisen', 'Fastfood', 'Knabberzeug und Snacks', 'Kartoffel', 'Bergkäse', 'Chili']",https://www.kochwiki.org/wiki/Kartoffel-Chili-Quesadilla
Käsestangerl,39,"Die Käsestangerl sind immer wieder lecker, schnell zubereitet und eignen sich als Vor- oder Hauptspeise auch für die einfache Küche. Dank der vielen erhältlichen Käsesorten kann der Geschmack je nach Vorliebe variiert werden.
","{'Meersalz', 'Eisbergsalat', 'Honig', 'Pfeffer', 'Essig', 'Sesam', 'Rauke', 'Brokkoli', 'Speck', 'Senf', 'Karotte', 'Bergkäse'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Käse', 'Oberösterreichische Küche', 'Vorspeisen']",https://www.kochwiki.org/wiki/K%C3%A4sestangerl
Khoresht-e Alu (Fleischeintopf mit Mirabellen),40,"Khoresht-e Alu (Fleischeintopf mit Mirabellen) ist ein Gericht aus der persischen Küche. Den Witz bei diesem Gericht machen die getrockneten Mirabellen aus.
","{'Zimt', 'Zitrone', 'Huhn', 'Zwiebel', 'Mirabelle', 'Zucker', 'Safran', 'Pfeffer', 'Knoblauch', 'Salz'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Persische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Khoresht-e_Alu_(Fleischeintopf_mit_Mirabellen)
Knackwurstkrapferl,41,"Knackwurstkrapferl nach Manfred Buchinger, original mit gekochtem Krautsalat als Beilage. Der Haubenkoch Buchinger führt heute im Weinvierteler Wolkersdorf das Restaurant ""Zur alten Schule"".
","{'Wurst', 'Muskat', 'Mehl', 'Weizenmehl', 'Ei', 'Petersilie', 'Bockwurst', 'Milch', 'Sodawasser', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Niederösterreichische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Knackwurstkrapferl
