,id,description,ingredients,categories,url
Chop Suey mit Hühnchen,10,"Auch dem Chop Suey mit Hühnchen soll eine Legende vorweg gestellt werden, wie das Gericht entstanden ist. Tatsächlich gibt es das Gericht in China nicht. Ein chinesischer Koch in den USA wurde von einem Diplomaten beauftragt, ein Diät-Gericht für ihn herzustellen, das zum Chop Suey wurde. Eine Legende…
","{'Brühe', 'Knoblauch', 'Stärkemehl', 'Sojasauce', 'Zucker', 'Hühnerbrust', 'Sesamöl', 'Pflanzliche Öle', 'Sojasprosse', 'Wasser', 'Zwiebel', 'Lauch'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen', 'Diätgerichte']",https://www.kochwiki.org/wiki/Chop_Suey_mit_H%C3%BChnchen
Chop Suey mit Rindfleisch,11,"Chop Suey mit Rindfleisch ist eine Variante des Chop Suey. Interessanterweise ist das Gericht in China unbekannt. So ranken sich verschiedene Legenden um dieses Gericht der chinesischen Küche. Eines ist, dass das Gericht in einem chinesischen Restaurant in San Francisco erfunden wurde, als ein Kunde nach Geschäftsschluss noch etwas zu Essen bestellte und der Koch einfach Reste in den Wok warf und den Gast damit sehr erfreute.
","{'Erdnussöl', 'Sellerie', 'Champignon', 'Austernsauce', 'Rumpsteak', 'Pfeffer', 'Salz', 'Sojasauce', 'Wasserkastanie', 'Sesamöl', 'Kaiserschote', 'Reiswein', 'Sojasprosse', 'Zwiebel', 'Brokkoli'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen', 'Brokkoli']",https://www.kochwiki.org/wiki/Chop_Suey_mit_Rindfleisch
Egg Benedict,12,"Egg Benedict oder Eier Benedikt ist ein Klassiker der amerikanischen Frühstückskultur aus pochierten Eiern und geröstetem Brot. In Deutschland ist aber auch ein beliebtes schnelles Abendessen.
","{'Pochiertes Ei', 'Speck', 'Sauce hollandaise', 'Muffins'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Pochierte Eier', 'US-amerikanische Küche']",https://www.kochwiki.org/wiki/Egg_Benedict
Eier in Tomaten mit Kräutersauce,13,"Eier in Tomaten mit Kräutersauce ist eine Vorspeise, die nicht nur gut schmeckt, sondern auch preiswert ist und dazu auch noch gut aussieht.
","{'Tomate', 'Ei', 'Petersilie', 'Pfeffer', 'Sherryessig', 'Salz', 'Olivenöl', 'Basilikum'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Tomate', 'Eierspeisen', 'Hauptspeisen', 'Abendessen']",https://www.kochwiki.org/wiki/Eier_in_Tomaten_mit_Kr%C3%A4utersauce
Eierschwammerlgulasch mit Kings-Prawns,14,"Schwammerl, die österreichische Bezeichnung für Pilze, gibt es in vielfältiger Auswahl und kostenlos in Wäldern und auf Wiesen. Wohl ein Pilz der beliebtesten Art sind Eierschwammerl, auch als Pfifferlinge bekannt. Als Gulasch mit edlen Garnelen zubereitet, schmeckt das Eierschwammerlgulasch mit Kings-Prawns besonders gut mit gebackenen Risottoknödeln serviert.
","{'Butter', 'Sahne', 'Kümmel', 'Knoblauch', 'Petersilie', 'Pfeffer', 'Pfifferling', 'Salz', 'Paprika', 'Weißwein', 'Garnele', 'Fischfond', 'Sonnenblumenöl', 'Olivenöl', 'Zwiebel'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Oberösterreichische Küche', 'Hauptspeisen', 'Pfifferlinge', 'Garnele', 'Paprika']",https://www.kochwiki.org/wiki/Eierschwammerlgulasch_mit_Kings-Prawns
Empadão,15,"Die Empadão (""große Pastete"", port. für die span. Empanada) ist eine portugiesisch-brasilianische Pastetenspezialität. Die zwei kleineren Varianten Empadinha (""Pastetchen"") und Empada (""kleine Pastete""), beide mit konischer Form, ähnlich wie Muffins, werden hauptsächlich im Straßenverkauf als Imbiss angeboten. Der große, rechteckige Empadão dagegen ist echte Hausmannskost.
","{'Tomate', 'Butter', 'Meersalz', 'Hühnerschenkel', 'Ei', 'Sahne', 'Chili', 'Petersilie', 'Knoblauch', 'Stärkemehl', 'Pfeffer', 'Weizenmehl', 'Salz', 'Sonnenblumenöl', 'Hühnerbrühe', 'Spinat', 'Frischkäsesorten'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Brasilianische Küche', 'Vorspeisen', 'Hauptspeisen', 'Fingerfood', 'Partyrezepte', 'Pasteten', 'Portugiesische Küche', 'Empanadas']",https://www.kochwiki.org/wiki/Empad%C3%A3o
Entenbrust auf Paprikagemüse,16,"Ente auf Paprika ist ein chinesisches Hauptgericht. Dabei ist es schnell gemacht und nicht scharf. Dabei ist die Qualität der Entenbrust besonders wichtig.
","{'Erdnussöl', 'Entenbrust', 'Tomate', 'Brühe', 'Knoblauch', 'Sojasauce', 'Paprika', 'Zwiebel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Entenbrust_auf_Paprikagem%C3%BCse
Entenbrust Peking,17,"Entenbrust Peking ist ein schnelles Gericht, das durch die fertige Sauce auch einfach herzustellen ist.
","{'Entenbrust', 'Mexikanische Tortilla', 'Pfeffer', 'Salz', 'Sojasauce', 'Honig', 'Pflanzliche Öle', 'Zwiebel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Entenbrust_Peking
Fetavariationen auf Blattsalat,18,"Feta-Käse ist vielfälltig einsätzbar und darf auf keinem griechischen Salat fehlen. Mal etwas anders serviert, sind die Fetavariationen auf Blattsalat nicht nur schön für das Auge, sondern schmecken auch vorzüglich und eignen sich im Sommer auch als leichte Hauptspeise.
","{'Zucker', 'Basilikum', 'Feta', 'Olive', 'Paniermehl', 'Blattsalat', 'Pfeffer', 'Pumpernickel', 'Weizenmehl', 'Olivenöl', 'Karotte', 'Weißweinessig', 'Sahne', 'Sesam', 'Radieschen', 'Ei', 'Parmaschinken', 'Kirschtomate', 'Salz', 'Schalotte'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Blattsalat', 'Feta', 'Griechische Salate', 'Hauptspeisen', 'Radieschen', 'Sesam', 'Tomate']",https://www.kochwiki.org/wiki/Fetavariationen_auf_Blattsalat
Gebackener Karpfen (simples Grundrezept),19,"Will man in der Küche etwas neues ausprobieren, sollte man nicht gleich zu den komplizierten Rezepten greifen. Wer noch nie einen Karpfen zubereitet hat, diesen traditionellen Weihnachts- und Silvesterfisch aber gern einmal probieren möchte, ist mit diesem Grundrezept gut beraten. Gebackener Karpfen lässt sich mit vielen Beilagen kombinieren oder auch solo nur mit etwas Brot verspeisen - ein puristisches Festmahl für die Single-Küche. Fischhändler bieten meistens auch halbe Karpfen an. Der Fisch ist dann in der Längsachse gespalten. Die Kopf- und Schwanzteile sollte man nicht abtrennen lassen, denn gerade der Kopf enthält schmackhafte Fleischanteile.
","{'Speiseöl', 'Salz', 'Pfeffer', 'Karpfen'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Karpfen', 'Singleküche']",https://www.kochwiki.org/wiki/Gebackener_Karpfen_(simples_Grundrezept)
Gebratene Scampi mit Vanille,20,"Gebratene Scampi mit Vanille hört sich im ersten Moment etwas merkwürdig an, aber Krustentiere und Vanille harmonieren wunderbar, wobei die Vanille das Gericht nicht übertönen darf. Ein abgeändertes Rezept von Pascale Weeks.
","{'Sellerie', 'Karotte', 'Gartenkresse', 'Spaghetti', 'Sahne', 'Scampi', 'Gewürzthymian', 'Knoblauch', 'Pfeffer', 'Fond', 'Salz', 'Weißwein', 'Cayennepfeffer', 'Vanille', 'Olivenöl', 'Schalotte'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Hauptspeisen', 'Scampi']",https://www.kochwiki.org/wiki/Gebratene_Scampi_mit_Vanille
Gebratener Reis mit Tintenfisch und Gemüse,21,"Bei gebratenem Reis mit Tintenfisch und Gemüse handelt es sich um ein Hausrezept. Das Pfannengericht kann ohne Beilagen serviert werden und eignet sich als Hauptgang.
","{'Wasser', 'Butter', 'Meersalz', 'Ei', 'Reissorten', 'Tintenfisch', 'Sojasauce', 'Currypulver', 'Cayennepfeffer', 'Sojasprosse', 'Olivenöl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Tintenfisch', 'Reis']",https://www.kochwiki.org/wiki/Gebratener_Reis_mit_Tintenfisch_und_Gem%C3%BCse
"Gebratenes Wokgemüse mit Pilzen, Krabben und Ei",22,"Gemüse hat gerade im Frühjahr wieder Hochsaison. Als gebratenes Wokgemüse mit Pilzen, Krabben und Ei eine sehr gute Alternative für den Mittagstisch.
","{'Lauchzwiebel', 'Chili', 'Knoblauch', 'Sojasauce', 'Paprika', 'Zucker', 'Kaiserschote', 'Pfeffer', 'Nordseekrabbe', 'Sesamöl', 'Karotte', 'Morchel', 'Fischfond', 'Reiswein', 'Weißkohl', 'Erdnussöl', 'Bambussprosse', 'Cashewkern', 'Shiitake'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Chinesische Küche', 'Wok-Küche', 'Nordseekrabbe', 'Hauptspeisen']","https://www.kochwiki.org/wiki/Gebratenes_Wokgem%C3%BCse_mit_Pilzen,_Krabben_und_Ei"
Geschmolzene Avocado mit gerösteten Calamari,23,"Die kleinen Tintenfische, auch Calamari genannt, kennen wohl die meisten von Gerichten in einem asiatischen Restaurant. Schnell zubereitet und mit Avocado als geschmolzene Avocado mit gerösteten Calamari ist ein durch die Sauce etwas gehaltvolleres und nicht während einer Diät geeignetes Gericht. 
","{'Zubereitung:Zitronenabrieb', 'Chili', 'Petersilie', 'Knoblauch', 'Pfeffer', 'Tintenfisch', 'Avocado', 'Salz', 'Ingwer', 'Zitrone', 'Olivenöl', 'Zwiebel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Mediterrane Küche', 'Tintenfisch', 'Vorspeisen', 'Hauptspeisen', 'Avocado']",https://www.kochwiki.org/wiki/Geschmolzene_Avocado_mit_ger%C3%B6steten_Calamari
Gratin,24,"Bei einem Gratin entsteht durch das Gratinieren eine braune Kruste (siehe Maillard-Reaktion).
",{'Gratiniermassen'},"['Begriffsklärung', 'Hauptspeisen', 'Vorspeisen']",https://www.kochwiki.org/wiki/Gratin
Griechisch-asiatische Wokpfanne,25,"Die griechisch-asiatische Wokpfanne ist ein typisches Gericht, das die Verbindung der kulinarischen Traditionen der griechischen und asiatischen Küche repräsentiert (""Crossover-Küche"").
","{'Erdnussöl', 'Karotte', 'Feta', 'Kurkuma', 'Kreuzkümmel', 'Erdnussbutter', 'Wurzelpetersilie', 'Chili', 'Petersilie', 'Pfeffer', 'Reissorten', 'Cashewkern', 'Sojasauce', 'Cayennepfeffer', 'Ingwer', 'Hackfleisch', 'Zwiebel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Griechische Küche', 'Wok-Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Griechisch-asiatische_Wokpfanne
Grüner Spargel mit Garnelen,26,"Grüner Spargel mit Garnelen ist ein schönes Gericht, was die Qualitäten des grünen Spargel einmal anders präsentiert.
","{'Kerbel', 'Karotte', 'Zucchini', 'Chili', 'Knoblauch', 'Pfeffer', 'Spargel', 'Salz', 'Sojasauce', 'Kaiserschote', 'Garnele', 'Sojaöl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Vorspeisen']",https://www.kochwiki.org/wiki/Gr%C3%BCner_Spargel_mit_Garnelen
Grünes Spargelrisotto,27,"Das grüne Spargelrisotto ist eine schöne italienische Beilage, die Reis mit Gemüse kombiniert. Die Aromen der Rauke tun ihr Übriges für den Geschmack.
","{'Kerbel', 'Parmesan', 'Rauke', 'Brühe', 'Pfeffer', 'Reissorten', 'Spargel', 'Salz', 'Weißwein', 'Steinpilz', 'Pflanzliche Öle', 'Zwiebel'}","['Schwierigkeit leicht bis mittel', 'Rezepte mit Alkohol', 'Risotto', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Gr%C3%BCnes_Spargelrisotto
Grünkernküchle,28,"Diese Grünkernküchle hat der Verfasser im Taubertal (Baden) serviert bekommen. Mit Gemüsebrühe hergestellt sind diese Küchle ein wunderbarer Ersatz für Frikadellen.
","{'Butter', 'Majoran', 'Ei', 'Grünkernschrot', 'Rinderbrühe', 'Petersilie', 'Zubereitung:Paniermehl herstellen', 'Pfeffer', 'Butterschmalz', 'Salz', 'Schalotte'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Badische Küche', 'Hauptspeisen', 'Grünkern']",https://www.kochwiki.org/wiki/Gr%C3%BCnkernk%C3%BCchle
Gurken-Sahne-Hummersauce,29,"Die Gurken-Sahne-Hummersauce ist ein aus der Not entstandenes Rezept. Der Verfasser bekam über ein Kilogramm Freilandgurken geschenkt und es musste über eine optimale Verwertung nachgedacht werden. Diese Sauce sollte zu einem Fisch und einem Gurkengemüse passen (Meinung des Verfassers, er lässt sich gerne eines Besseren belehren). Das nebenstehende Foto zeigt die Sauce mit Gurkengemüse, gekochten mit Safran gefärbten gekochter Reis und einem gebratenem Lachsforellenfilet.
","{'Butter', 'Noilly Prat', 'Meersalz', 'Sahne', 'Gurke', 'Wein', 'Pfeffer', 'Hummerbutter', 'Cayennepfeffer', 'Schalotte'}","['Schwierigkeit leicht bis mittel', 'Rezepte mit Alkohol', 'Hauptspeisen', 'Helle Saucen', 'Festliche Küche']",https://www.kochwiki.org/wiki/Gurken-Sahne-Hummersauce
Hackfleischstrudel,30,"Hackfleischstrudel ist kostengünstig und nicht besonders schwierig in der Zubereitung. Er eignet sich außerdem hervorragend für Gäste und schmeckt auch aufgewärmt am nächsten Tag!
","{'Tomate', 'Ketchup', 'Europäischer Käse', 'Ei', 'Tatar', 'Pfeffer', 'Weizenmehl', 'Salz', 'Paprika', 'Pflanzliche Öle', 'Strudelteig', 'Zwiebel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Strudel', 'Partyrezepte', 'Resteküche']",https://www.kochwiki.org/wiki/Hackfleischstrudel
Heider Krabbenfrikadellen,31,"Das Rezept der Heider Krabbenfrikadellen stammt von der Patentante des Verfassers.
","{'Ei', 'Zubereitung:Paniermehl herstellen', 'Milch', 'Pfeffer', 'Butterschmalz', 'Weizenmehl', 'Nordseekrabbe', 'Salz', 'Toastbrot', 'Zwiebel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Schleswig-Holsteinische Küche', 'Hauptspeisen', 'Nordseekrabbe']",https://www.kochwiki.org/wiki/Heider_Krabbenfrikadellen
Hoppelpoppel,32,"Hoppelpoppel ist ein einfaches Berliner Gericht aus Kartoffeln, Bratenresten, Eiern und Sahne. Der Name soll eine Zusammenziehung aus hops und popelig sein, in etwa dem Sinn, dass popelige (kümmerliche) Reste, bevor sie hopsgehen (verderben), verarbeitet werden.
","{'Butter', 'Ei', 'Sahne', 'Petersilie', 'Pfeffer', 'Gewürzgurke', 'Salz', 'Fleisch', 'Zwiebel', 'Pellkartoffeln'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Berliner Küche', 'Resteküche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Hoppelpoppel
Huhn mit Cashewnüssen,33,"Beim Huhn mit Cashewnüssen (ndl. kip met cashewnoten) trifft ostasiatische Küche auf surinamische Schärfe.
","{'Chili', 'Glutamat', 'Knoblauch', 'Pfeffer', 'Laos', 'Stärkemehl', 'Cashewkern', 'Salz', 'Paprika', 'Ingwer', 'Brühwürfel', 'Sojasprosse', 'Huhn', 'Zwiebel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Surinamische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Huhn_mit_Cashewn%C3%BCssen
Hühnchen Chow Mein,34,"Hühnchen Chow-Mein ist eine milde chinesische Hauptspeise mit Eiernudeln. 
","{'Nudel', 'Lauchzwiebel', 'Knoblauch', 'Sojasauce', 'Paprika', 'Hühnerbrust', 'Sesamöl', 'Shiitake', 'Sonnenblumenöl', 'Sojasprosse'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/H%C3%BChnchen_Chow_Mein
Ingwerhuhn,35,"Ingwerhuhn ist ein chinesisches Hauptgericht, das kalorienarm und dazu noch sehr gesund ist.
","{'Karotte', 'Orangensaft', 'Orange', 'Knoblauch', 'Sherry', 'Stärkemehl', 'Schnittlauch', 'Hühnerbrust', 'Zucker', 'Sonnenblumenöl', 'Ingwer', 'Zwiebel', 'Tomatenmark'}","['Schwierigkeit mittel', 'Rezepte mit Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Ingwerhuhn
Jambalaya,36,"Die Jambalaya ist ein typisches und sehr würziges Reisgericht aus der Cajun-Küche im US-Bundesstaat Louisiana, die von den frankophonen, Cajuns genannten, Einwanderern stammt. Dieses Reisgericht ähnelt im weitesten Sinne einer mediterranen Paella – doch von der Jambalaya existieren so viele Variationen, wie es Köche gibt, die es zubereiten. Jambalaya, we'll have big fun on the Bayou…
","{'Tomate', 'Sellerie', 'Erdnussöl', 'Lorbeer', 'Rundkornreis', 'Chorizo', 'Scampi', 'Gewürzthymian', 'Petersilie', 'Knoblauch', 'Chili', 'Pfeffer', 'Koriander', 'Salz', 'Paprika', 'Hühnerbrust', 'Hühnerbrühe', 'Zwiebel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Cajun-Küche', 'Hauptspeisen', 'Reis']",https://www.kochwiki.org/wiki/Jambalaya
Janssons Versuchung,37,"Janssons Versuchung (schwed. Janssons Frestelse) ist ein echter schwedischer Klassiker. Es ist ein Hauptgericht mit Anchovis, wie sie in Schweden aus Skarpsill (dt. Europäische Sprotte, Sprott, Brisling oder Breitling, lt. sprattus sprattus) hergestellt werden. Außerdem besteht es aus Kartoffelstäbchen, Sahne, gelben Zwiebeln, dem Sud der Anchovis, Butter und Semmelmehl.
","{'Butter', 'Sahne', 'Kartoffel', 'Zubereitung:Paniermehl herstellen', 'Sprotte', 'Zwiebel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Schwedische Küche', 'Anchovis', 'Kartoffelauflauf']",https://www.kochwiki.org/wiki/Janssons_Versuchung
Kartoffel-Chili-Quesadilla,38,"Dem ein oder anderen ist Quesadilla vielleicht aus dem Mexiko-Urlaub ein Begriff. Hauptsächlich handelt es sich dabei um Tortillas, die mit Käse gefüllt werden. Es gibt aber zahlreiche Varianten, bei denen auch noch andere Zutaten in die dünnen Weizenfladen gepackt werden. So wie bei dieser sättigenden Kartoffel-Chili-Quesadilla, die dank reichlich Chili den Gaumen rauchen lässt.
","{'Tomaten-Salsa', 'Lime Juice', 'Weizentortilla', 'Chili', 'Kartoffel', 'Knoblauch', 'Pfeffer', 'Vorarlberger Bergkäse', 'Koriander', 'Salz', 'Sonnenblumenöl', 'Olivenöl', 'Zwiebel', 'Limette'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Mexikanische Küche', 'Vorspeisen', 'Hauptspeisen', 'Fastfood', 'Knabberzeug und Snacks', 'Kartoffel', 'Bergkäse', 'Chili']",https://www.kochwiki.org/wiki/Kartoffel-Chili-Quesadilla
Käsestangerl,39,"Die Käsestangerl sind immer wieder lecker, schnell zubereitet und eignen sich als Vor- oder Hauptspeise auch für die einfache Küche. Dank der vielen erhältlichen Käsesorten kann der Geschmack je nach Vorliebe variiert werden.
","{'Karotte', 'Senf', 'Speck', 'Meersalz', 'Rauke', 'Bergkäse', 'Essig', 'Pfeffer', 'Honig', 'Pflanzliche Öle'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Käse', 'Oberösterreichische Küche', 'Vorspeisen']",https://www.kochwiki.org/wiki/K%C3%A4sestangerl
Khoresht-e Alu (Fleischeintopf mit Mirabellen),40,"Khoresht-e Alu (Fleischeintopf mit Mirabellen) ist ein Gericht aus der persischen Küche. Den Witz bei diesem Gericht machen die getrockneten Mirabellen aus.
","{'Zimt', 'Knoblauch', 'Pfeffer', 'Safran', 'Salz', 'Zucker', 'Pflanzliche Öle', 'Zitrone', 'Huhn', 'Zwiebel', 'Mirabelle'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Persische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Khoresht-e_Alu_(Fleischeintopf_mit_Mirabellen)
